"name";"treshold";"color_bg";"color_text"
"COLOR_ACTIVITY";0;"#508104";"#000"
"COLOR_ACTIVITY";10;"#9e8e01";"#000"
"COLOR_ACTIVITY";20;"#f3b800";"#000"
"COLOR_ACTIVITY";50;"#db8200";"#000"
"COLOR_ACTIVITY";100;"#b64201";"#fff"
"COLOR_AVG_TIME";0;"#508104";"#000"
"COLOR_AVG_TIME";0.5;"#9e8e01";"#000"
"COLOR_AVG_TIME";1;"#f3b800";"#000"
"COLOR_AVG_TIME";1.5;"#db8200";"#000"
"COLOR_AVG_TIME";2;"#b64201";"#fff"
"COLOR_MAX_TIME";0;"#508104";"#000"
"COLOR_MAX_TIME";0.5;"#9e8e01";"#000"
"COLOR_MAX_TIME";1;"#f3b800";"#000"
"COLOR_MAX_TIME";1.5;"#db8200";"#000"
"COLOR_MAX_TIME";2;"#b64201";"#fff"
"COLOR_USERS";0;"#508104";"#000"
"COLOR_USERS";5;"#9e8e01";"#000"
"COLOR_USERS";10;"#f3b800";"#000"
"COLOR_USERS";20;"#db8200";"#000"
"COLOR_USERS";50;"#b64201";"#fff"
